"table_schema","table_name","ordinal_position","column_name","data_type","is_nullable","column_default"
"auditoria","auditorias",1,"id","bigint","NO","nextval('auditorias_id_seq'::regclass)"
"auditoria","auditorias",2,"tabla","character varying","NO",NULL
"auditoria","auditorias",3,"accion","character varying","NO",NULL
"auditoria","auditorias",4,"user_id","bigint","YES",NULL
"auditoria","auditorias",5,"payload","jsonb","YES",NULL
"auditoria","auditorias",6,"ocurrio_en","timestamp without time zone","NO","CURRENT_TIMESTAMP"
"auditoria","auditorias",7,"created_at","timestamp without time zone","YES",NULL
"auditoria","auditorias",8,"updated_at","timestamp without time zone","YES",NULL
"auditoria","auditorias",9,"usuario_id","bigint","YES",NULL
"catalogo","categorias",1,"id","bigint","NO","nextval('categorias_id_seq'::regclass)"
"catalogo","categorias",2,"competencia_id","bigint","NO",NULL
"catalogo","categorias",3,"nombre","character varying","NO",NULL
"catalogo","categorias",5,"created_at","timestamp without time zone","YES",NULL
"catalogo","categorias",6,"updated_at","timestamp without time zone","YES",NULL
"catalogo","categorias",7,"reglamento","text","YES",NULL
"catalogo","categorias",8,"estado","boolean","NO","true"
"catalogo","categorias",9,"nombre_key","character varying","NO",NULL
"catalogo","categorias",10,"imagen","character varying","YES",NULL
"catalogo","categorias",11,"costo_inscripcion","numeric","NO","'0'::numeric"
"catalogo","competencias",1,"id","bigint","NO","nextval('competencias_id_seq'::regclass)"
"catalogo","competencias",2,"nombre","character varying","NO",NULL
"catalogo","competencias",3,"descripcion","text","YES",NULL
"catalogo","competencias",4,"fecha_inicio","timestamp without time zone","NO",NULL
"catalogo","competencias",5,"fecha_fin","timestamp without time zone","NO",NULL
"catalogo","competencias",6,"enlace_evento","character varying","NO","'borrador'::character varying"
"catalogo","competencias",7,"created_at","timestamp without time zone","YES",NULL
"catalogo","competencias",8,"updated_at","timestamp without time zone","YES",NULL
"catalogo","competencias",12,"tipo_competencia","character varying","YES",NULL
"catalogo","competencias",13,"estado","boolean","NO","false"
"catalogo","competencias",14,"temporada_id","bigint","YES",NULL
"catalogo","competencias",15,"imagen_url","character varying","YES",NULL
"catalogo","equipos",1,"id","bigint","NO","nextval('equipos_id_seq'::regclass)"
"catalogo","equipos",2,"nombre","character varying","NO",NULL
"catalogo","equipos",3,"capitan_user_id","bigint","YES",NULL
"catalogo","equipos",4,"institucion","character varying","YES",NULL
"catalogo","equipos",5,"created_at","timestamp without time zone","YES",NULL
"catalogo","equipos",6,"updated_at","timestamp without time zone","YES",NULL
"catalogo","rondas",1,"id","bigint","NO","nextval('rondas_id_seq'::regclass)"
"catalogo","rondas",2,"categoria_id","bigint","NO",NULL
"catalogo","rondas",3,"nombre","character varying","NO",NULL
"catalogo","rondas",4,"fecha_hora","timestamp without time zone","YES",NULL
"catalogo","rondas",5,"created_at","timestamp without time zone","YES",NULL
"catalogo","rondas",6,"updated_at","timestamp without time zone","YES",NULL
"catalogo","temporadas",1,"id","bigint","NO","nextval('temporadas_id_seq'::regclass)"
"catalogo","temporadas",2,"nombre","character varying","NO",NULL
"catalogo","temporadas",3,"anio","integer","NO",NULL
"comunicacion","notificaciones",1,"id","bigint","NO","nextval('notificaciones_id_seq'::regclass)"
"comunicacion","notificaciones",2,"user_id","bigint","YES",NULL
"comunicacion","notificaciones",3,"competencia_id","bigint","YES",NULL
